rollout/steps_this_iter,time/time_elapsed,rollout/ep_len_mean_this_rollout,rollout/reward_sum_all,time/fps,rollout/ep_rew_mean_this_rollout,rollout/ep_rew_mean_custom,rollout/ep_len_mean_custom,time/iterations,time/total_timesteps,rollout/reward_sum_finished_eps,rollout/success_rate,rollout/episodes_finished,train/value_loss,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_range,train/loss,train/entropy_loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
5120,102,281.7894736842105,-5918.010019779205,551,-324.13682965228435,-424.52587357997896,341.66,11,56320,-6158.599763393402,0.7368421052631579,19,103.47240645885468,0.011610145,0.8928203582763672,0.0003,100,-0.006999037230270915,0.2,50.571434020996094,-1.4500807945430279,0.09955078125,,
5120,111,273.1666666666667,-5711.1936984062195,549,-318.4041124979655,-366.0552433156967,304.8,12,61440,-5731.274024963379,0.8888888888888888,18,149.5872941827774,0.0053465255,0.8563522100448608,0.0003,110,-0.002238905003468972,0.2,102.89082336425781,-1.4841655179858209,0.014453125,,
5120,119,205.07142857142858,-6594.7495102882385,556,-256.6257994515555,-299.2522065114975,253.72,13,66560,-7185.522384643555,0.9642857142857143,28,120.24912118196488,0.0053591565,0.8741593360900879,0.0003,120,-0.0028366885652940255,0.2,39.156314849853516,-1.4869913563132287,0.02509765625,,
5120,129,200.03846153846155,-6310.0308084487915,552,-242.68215590256912,-282.6681032705307,237.55,14,71680,-6309.736053466797,1.0,26,170.36197020053862,0.007508044,0.8521857857704163,0.0003,130,-0.004215674404113088,0.2,61.94568634033203,-1.4413923555612564,0.043046875,,
5120,139,191.2608695652174,-6138.944440364838,549,-240.98080389396003,-257.15595287561416,210.13,15,76800,-5542.558489561081,0.9565217391304348,23,110.63805206775665,0.0063922713,0.9047074913978577,0.0003,140,-0.0034199769303086213,0.2,19.33895492553711,-1.4566257487237453,0.0654296875,,
5120,149,203.2962962962963,-6178.295274019241,546,-235.98842988190827,-242.4763403582573,196.96,16,81920,-6371.687606811523,1.0,27,119.81714437961578,0.009145424,0.8915109038352966,0.0003,150,-0.0053094896953552965,0.2,41.93023681640625,-1.4096583898365498,0.0833203125,,
5120,157,202.80769230769232,-6241.208711385727,552,-246.39033860426682,-240.62001986265182,198.68,17,87040,-6406.1488037109375,1.0,26,173.69594278812409,0.005252154,0.8652985692024231,0.0003,160,-0.004888495926279574,0.2,136.40023803710938,-1.390982737392187,0.0511328125,,
5120,167,184.35714285714286,-6084.140855789185,549,-224.76301738194056,-237.070639064312,196.1,18,92160,-6293.364486694336,1.0,28,155.6038996887207,0.010011346,0.8457751870155334,0.0003,170,-0.007327607450861251,0.2,59.19068145751953,-1.3572192993760108,0.10166015625,,
5120,178,194.10344827586206,-6445.748629808426,545,-240.33923050452924,-233.03331474304198,191.1,19,97280,-6969.837684631348,0.9655172413793104,29,124.29414545059204,0.0068518952,0.8433308005332947,0.0003,180,-0.0029144771600840614,0.2,97.59717559814453,-1.3664586928486824,0.048046875,,
,,,,,,,,,102400,,,,175.4814284992218,0.0058663716,0.8503419160842896,0.0003,190,-0.0031808692461345344,0.2,178.927734375,-1.2652976395189761,0.04162109375,-169.37605489492415,116.6
5120,189,149.25,-6413.433399200439,541,-192.10215327569418,-221.3474597287178,179.14,20,102400,-5378.860291719437,1.0,28,,,,,,,,,,,,
5120,200,173.9090909090909,-6410.812261104584,536,-213.40711729454273,-215.58773456811906,172.83,21,107520,-7042.43487071991,1.0,33,172.8650515127182,0.007781851,0.8196713924407959,0.0003,200,-0.0016790317374398,0.2,186.50274658203125,-1.2744736245274544,0.0274609375,,
5120,208,149.94285714285715,-6508.76127243042,539,-189.6207035609654,-199.72544307947157,158.33,22,112640,-6636.724624633789,1.0,35,167.1831034517288,0.005435406,0.8342384099960327,0.0003,210,-0.0014386361025390216,0.2,144.78277587890625,-1.2399995735287666,0.0303125,,
5120,219,168.72413793103448,-6476.61638045311,537,-213.5031556260997,-204.31955781459808,163.42,23,117760,-6191.591513156891,1.0,29,163.0676405763626,0.0047245477,0.8544957637786865,0.0003,220,-0.003273711267684121,0.2,30.477262496948242,-1.2358341984450818,0.03859375,,
5120,230,150.86486486486487,-6958.635054826736,533,-203.99702494853253,-201.8410582590103,155.79,24,122880,-7547.889923095703,1.0,37,167.90453744888305,0.007288076,0.8200507164001465,0.0003,230,-0.0036757552780909463,0.2,59.5560302734375,-1.1702051404118539,0.06591796875,,
5120,238,147.14705882352942,-6647.886900424957,536,-191.65862231394823,-202.55874594926834,154.78,25,128000,-6516.39315867424,1.0,34,187.2230804014206,0.005289498,0.8460228443145752,0.0003,240,-0.004625063915736974,0.2,153.6585235595703,-1.1475021588802337,0.05875,,
