rollout/ep_len_std_custom,rollout/success_rate,rollout/reward_std_all,rollout/ep_len_mean_custom,time/time_elapsed,rollout/ep_len_std_this_rollout,rollout/reward_sum_finished_eps,rollout/ep_rew_mean_this_rollout,time/iterations,rollout/reward_mean_all,rollout/ep_len_mean_this_rollout,rollout/reward_sum_all,rollout/ep_rew_std_custom,time/total_timesteps,rollout/steps_this_iter,rollout/ep_rew_mean_custom,time/fps,rollout/episodes_finished,rollout/ep_rew_std_this_rollout,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/loss,train/clip_fraction,train/learning_rate
135.29179723841355,0.3333333333333333,0.5330215054189321,410.36,90,157.89425434624135,-7739.191192626953,-515.9460795084635,12,-1.202324801310897,406.73333333333335,-6155.902982711792,241.24262735209547,61440,5120,-571.1829306030273,675,15,220.09265822074235,0.012631955,0.866787314414978,110,0.2,-0.006461853823711863,119.89108487248421,-1.5152292194962502,37.63802719116211,0.12248046875,0.0003
146.01988734415596,0.6875,0.5977941157310986,390.05,99,173.20070546911754,-6103.401478290558,-381.46259239315987,13,-1.255005022417754,312.625,-6425.6257147789,238.42071892352337,66560,5120,-524.3394377565384,669,16,211.94002503991666,0.0072680563,0.9019255638122559,120,0.2,-0.0028634015400893988,113.36929283142089,-1.503792985677719,26.47471046447754,0.055546875,0.0003
156.1496474539728,0.7894736842105263,0.6065005039650445,369.74,107,166.86491625565967,-7832.945396900177,-412.26028404737775,14,-1.3390433831140398,313.3157894736842,-6855.902121543884,241.3431259046188,71680,5120,-491.40544003486633,663,19,252.85678811225281,0.012746413,0.9243640899658203,130,0.2,-0.005653968151600566,89.37341865062713,-1.483112673163414,13.851750373840332,0.076640625,0.0003
158.5848955607059,0.8571428571428571,0.5641734494436341,358.97,122,156.60937040279288,-5848.491605758667,-417.74940041133334,15,-1.1974764679558576,327.07142857142856,-6131.0795159339905,235.93027807911497,76800,5120,-469.69489100456235,629,14,214.5989265488852,0.0065830336,0.9122196435928345,140,0.2,-0.0021534722510841674,133.5264782500267,-1.4602965387701987,32.75614547729492,0.02650390625,0.0003
163.32838087729886,0.8888888888888888,0.6218973115622333,347.0,131,138.66288278313127,-6231.641362667084,-346.2022979259491,16,-1.3146310118958353,286.77777777777777,-6730.910780906677,229.20423869620927,81920,5120,-445.06182785511015,623,18,173.00931965706718,0.008047993,0.9448069930076599,150,0.2,-0.0047699503946932965,82.98251679420471,-1.4603354024887085,13.813027381896973,0.073203125,0.0003
158.41312161560356,0.85,0.6067473853443606,311.73,133,126.71290384171614,-7177.793418884277,-358.8896709442139,17,-1.2542969655245542,268.8,-6422.000463485718,221.48016284720296,87040,5120,-396.96148354053497,650,20,207.53147711622316,0.010945024,0.937027096748352,160,0.2,-0.004729479300149251,116.43231603384018,-1.4298273792862892,102.12030029296875,0.06640625,0.0003
143.96311298384737,0.9473684210526315,0.6226168348682622,294.89,142,112.22158531461902,-6543.639621257782,-344.40208532935696,18,-1.276912348996848,277.0,-6537.791226863861,202.37001568996058,92160,5120,-375.19246619701386,647,19,138.47604413042413,0.0068175867,0.9233221411705017,170,0.2,-0.003975157226377633,117.40197134256363,-1.4309563843905926,89.37360382080078,0.03630859375,0.0003
132.5652665670763,1.0,0.6542102795428195,271.49,151,110.04137479451384,-6953.808196544647,-289.7420081893603,19,-1.2589147282764315,221.75,-6445.64340877533,185.29392174241045,97280,5120,-347.7517365884781,641,24,153.55669933989068,0.0117600635,0.9514294862747192,180,0.2,-0.006149206644331571,87.36444506645202,-1.378348565995693,17.011077880859375,0.10646484375,0.0003
124.88508758054343,0.9230769230769231,0.6795952208055933,248.43,160,120.54290404655237,-6784.406985759735,-260.93873022152826,20,-1.2482339810580014,213.84615384615384,-6390.957983016968,166.12839440589542,102400,5120,-315.6885345840454,637,26,122.09061117806594,0.007980456,0.9003995656967163,190,0.2,-0.002982183224230539,154.1024166917801,-1.4084000246226787,50.276180267333984,0.0371875,0.0003
110.81284898422204,1.0,0.6508385952371084,226.85,169,73.73031940796133,-6266.926798820496,-250.67707195281983,21,-1.2790890618227422,193.0,-6548.93599653244,140.1879585360705,107520,5120,-287.69227159023285,633,25,99.81892874836672,0.009671335,0.9272105097770691,200,0.2,-0.005400867713615298,141.85962508440016,-1.3892886966466904,46.33725357055664,0.09279296875,0.0003
