iteration,episode_len_mean,episode_return_mean,episode_return_sum,success_mean,num_episodes,num_env_steps_sampled,num_env_steps_sampled_lifetime,cm_episode_return_mean,cm_episode_return_std,cm_episode_len_std,cm_episode_len_mean_custom
20,345.125,-293.7655458673835,-4700.249413847923,0.9375,16.0,5522.0,139971.0,-293.7655883654952,306.32739245171996,363.20773584135014,345.125
21,223.83333333333337,-191.09266701502105,-4586.223982095718,1.0,24.0,5372.0,145343.0,-191.09266592065492,137.7405954471995,206.89785456167064,223.83333333333334
22,281.5625,-233.99958987105634,-3743.993602514267,1.0,16.0,4505.0,149848.0,-233.99960015714169,170.74406725882974,234.4474804593771,281.5625
23,194.54166666666666,-170.7093483058115,-4097.024392008781,1.0,24.0,4669.0,154516.99999999997,-170.70934966703257,99.15414467115265,115.73172251903203,194.54166666666666
24,177.125,-160.16137435557317,-5125.163784503937,1.0,32.0,5668.0,160185.0,-160.16136826574802,87.66958858224075,99.40911364155703,177.125
25,177.875,-144.52518318351355,-4624.805564880371,1.0,32.0,5692.0,165877.0,-144.5251739025116,56.39802588492502,98.53481301042794,177.875
26,204.75,-193.82410108335313,-4651.778175473213,1.0,24.0,4914.0,170790.99999999997,-193.82409064471722,159.6796309810669,156.78840571504855,204.75
27,206.0,-181.15394628333544,-4347.694555044174,1.0,24.0,4944.0,175735.00000000003,-181.15393979350725,95.59900045749401,102.61172772479111,206.0
28,179.41666666666666,-159.29998814848562,-3823.199764251709,1.0,24.0,4306.0,180041.0,-159.29999017715454,109.81318678377525,120.36954095155838,179.41666666666666
29,307.3125,-287.57665583901104,-4601.226357102394,1.0,16.0,4917.0,184958.0,-287.57664731889963,179.39637397073423,178.652847286994,307.3125
30,332.0625,-361.5943896001205,-5785.509857177734,1.0,16.0,5313.0,190271.0,-361.5943660736084,418.09153542034767,271.7716110887044,332.0625
31,213.83333333333337,-212.41110986135897,-5097.866709947586,1.0,24.0,5132.0,195403.0,-212.41111291448274,127.07176159469803,112.18424825061473,213.83333333333334
32,191.0625,-178.81416986919936,-5722.053653001785,1.0,32.0,6114.0,201517.0,-178.8141766563058,107.57094000584355,102.83449612727239,191.0625
33,164.6875,-155.91112740794193,-4989.155533075333,1.0,32.0,5270.0,206787.0,-155.91111040860415,112.18844566662304,90.43590185180884,164.6875
34,144.6875,-141.41908951792863,-4525.410766720772,1.0,32.0,4630.0,211417.0,-141.41908646002412,88.49354538996812,79.10532437042401,144.6875
35,183.58333333333334,-169.84570253553485,-4076.296928167343,1.0,24.0,4406.0,215823.00000000003,-169.84570534030595,106.05858262478255,99.58535562800162,183.58333333333334
36,213.66666666666663,-202.45023020518323,-4858.806098937988,1.0,24.0,5128.0,220950.99999999997,-202.45025412241617,163.88358948201835,129.77534006462437,213.66666666666666
37,152.9375,-136.01761599900198,-4352.563868761063,1.0,32.0,4894.0,225845.0,-136.0176208987832,67.05636261940036,73.56244689887633,152.9375
